h,d,a,k,setPk_max,verify_value
3,2,16,15,66863,5320364
4,2,16,15,66863,5360499
4,3,16,15,66863,6144081
5,2,16,15,66863,5369013
5,3,16,15,66863,6128110
5,4,16,15,66863,6924586
6,2,16,15,66863,5401531
6,3,16,15,66863,6185199
6,4,16,15,66863,6882114
6,5,16,15,66863,7653788
7,2,16,15,66863,5401542
7,3,16,15,66851,6126161
7,4,16,15,66863,6914050
7,5,16,15,66863,7685856
7,6,16,15,66863,8459306
8,2,16,15,66863,5417573
8,3,16,15,66863,6202901
8,4,16,15,66863,7007086
8,5,16,15,66863,7686135
8,6,16,15,66863,8485906
8,7,16,15,66863,9256359
9,2,16,15,66863,5404957
9,3,16,15,66851,6192676
9,4,16,15,66863,6995181
9,5,16,15,66863,7698657
9,6,16,15,66863,8485348
9,7,16,15,66863,9290420
9,8,16,15,66863,10109914
10,2,16,15,66863,5424848
10,3,16,15,66863,6197392
10,4,16,15,66863,6958499
10,5,16,15,66851,7756041
11,2,16,15,66863,5424823
11,3,16,15,66863,6188756
12,2,16,15,66863,5428263
12,3,16,15,66851,6174670
13,2,16,15,66863,5381804
14,2,16,15,66863,5435514
15,2,16,15,66863,5440127
16,2,16,15,66863,5446778
18,2,16,14,66863,5314416
19,2,16,14,66863,5323798
19,7,16,14,66863,9095377
19,8,16,14,66863,9901573
19,9,16,14,66863,10721943
