h,d,a,k,setPk_max,verify_value
10,6,10,23,66863,8400350
10,7,10,23,66863,9188338
10,8,10,23,66863,9960004
10,9,10,23,66863,10728438
11,4,10,23,66863,6969821
11,5,10,23,66863,7733094
11,6,10,23,66863,8445958
11,7,10,23,66863,9238677
11,8,10,23,66863,10028379
11,9,10,23,66863,10832642
12,4,10,23,66863,6982996
12,5,10,23,66863,7776214
12,6,10,23,66863,8527468
12,7,10,23,66851,9197301
12,8,10,23,66863,9986773
12,9,10,23,66863,10803864
13,3,10,23,66851,6215225
13,4,10,23,66863,6984372
13,5,10,23,66863,7766026
13,6,10,23,66863,8556432
13,7,10,23,66863,9350441
13,8,10,23,66863,10088607
13,9,10,23,66863,10858745
14,3,10,23,66851,6283203
14,4,10,23,66863,6989300
14,5,10,23,66863,7765623
14,6,10,23,66863,8560811
14,7,10,23,66851,9339851
14,8,10,23,66863,10037886
14,9,10,23,66863,10873442
15,3,10,23,66863,6264917
15,4,10,23,66863,6938312
15,5,10,23,66851,7710197
15,6,10,23,66863,8504944
15,7,10,23,66863,9309875
15,8,10,23,66863,10067933
15,9,10,23,66863,10860144
16,3,10,23,66863,6256381
16,4,10,23,66863,7024372
16,5,10,23,66863,7757884
16,6,10,23,66863,8564773
16,7,10,23,66863,9370293
16,8,10,23,66863,10159270
16,9,10,23,66863,10852899
17,2,10,23,66863,5453569
17,3,10,23,66863,6282647
17,4,10,23,66863,7085859
17,5,10,23,66863,7849046
17,6,10,23,66863,8488908
17,7,10,23,66863,9264752
17,8,10,23,66851,10031999
17,9,10,23,66863,10882233
18,3,10,23,66863,6288442
18,4,10,23,66863,7065633
18,5,10,23,66863,7692090
18,6,10,23,66863,8507165
18,7,10,23,66863,9391723
18,8,10,23,66863,10168894
18,9,10,23,66863,10963634
19,3,10,23,66863,6234308
19,4,10,23,66863,7011208
19,5,10,23,66851,7809513
19,6,10,23,66863,8608141
