h,d,a,k,setPk_max,naysayerFors,naysayerForsHash,WotsHashNaysayer,wotsNaysayer,xmssNaysayer,setSign
3,2,4,59,66999,722005,1855101,1411412,1223307,689128,66708
3,2,4,60,66999,723086,1867492,1407780,1228376,690173,66708
3,2,5,47,66999,727190,1662273,1396361,1230966,685677,66696
3,2,5,48,66999,728553,1674225,1400398,1225549,687064,66708
3,2,6,39,66999,735248,1576864,1390473,1222628,685351,66708
3,2,6,40,66999,736929,1589373,1396648,1220599,687032,66708
3,2,7,34,66999,744718,1525642,1393121,1218280,685739,66708
3,2,8,30,66987,751083,1483800,1392163,1223414,686260,66708
3,2,9,26,66999,757739,1440137,1388687,1226799,685391,66708
3,2,10,24,66999,767452,1420846,1394426,1228206,687032,66708
3,2,12,20,66999,783447,1378838,1385411,1223770,686960,66708
3,2,13,18,66999,790200,1356298,1383912,1230977,685367,66708
3,2,14,17,66999,799399,1346960,1389563,1224382,686535,66708
3,2,15,16,66999,807856,1336795,1392449,1228261,686996,66708
3,2,16,15,66999,815648,1326395,1394415,1220254,687020,66708
3,2,17,14,66999,823377,1315326,1396800,1232045,686479,66708
3,2,18,13,66999,830262,1303911,1400858,1227262,685363,66708
3,2,20,12,66999,844858,1281532,1378952,1226021,683875,66708
3,2,24,10,66999,877066,1262757,1376137,1220769,683839,66708
3,2,26,9,66999,891786,1251704,1375287,1227468,682222,66708
3,2,30,8,not found,not found,not found,not found,not found,not found,not found
3,2,34,7,not found,not found,not found,not found,not found,not found,not found
3,2,39,6,not found,not found,not found,not found,not found,not found,not found
3,2,40,6,not found,not found,not found,not found,not found,not found,not found
3,2,47,5,not found,not found,not found,not found,not found,not found,not found
3,2,48,5,not found,not found,not found,not found,not found,not found,not found
3,2,59,4,not found,not found,not found,not found,not found,not found,not found
3,2,60,4,not found,not found,not found,not found,not found,not found,not found
4,2,4,59,66999,722287,1855311,1407603,1228175,689342,66696
4,2,4,60,66999,723368,1868170,1409326,1233007,690483,66708
4,2,5,47,66999,727472,1662411,1398073,1231858,685951,66708
4,2,5,48,66999,728835,1674483,1398577,1220528,687326,66708
4,2,6,39,66999,735566,1577398,1394968,1227572,685649,66708
4,2,6,40,66999,737175,1589091,1394602,1220493,687306,66708
4,2,7,34,66987,745000,1525924,1400399,1219730,686801,66708
4,2,8,30,66999,751365,1483962,1393565,1220624,686502,66708
4,2,9,26,66999,758021,1440419,1390182,1218769,685685,66708
4,2,10,24,66999,767734,1421152,1392115,1232544,687342,66708
4,2,12,20,66999,783729,1379024,1388569,1221032,687306,66708
4,2,13,18,66999,790482,1356580,1387722,1228162,685637,66708
4,2,14,17,66999,799645,1347050,1391144,1228620,686721,66708
4,2,15,16,66999,808174,1337197,1390278,1220885,687306,66708
4,2,16,15,66999,815966,1326797,1393919,1234144,687282,66708
4,2,17,14,66999,823695,1315848,1395162,1224993,686805,66708
4,2,18,13,66987,830580,1304313,1397736,1231845,685585,66708
4,2,20,12,66999,848278,1295467,1402797,1224876,687314,66708
4,2,24,10,66999,877348,1263039,1379350,1222006,684109,66708
4,2,26,9,66999,892068,1251962,1379293,1217293,682512,66708
4,2,30,8,not found,not found,not found,not found,not found,not found,not found
4,2,34,7,not found,not found,not found,not found,not found,not found,not found
4,2,39,6,not found,not found,not found,not found,not found,not found,not found
4,2,40,6,not found,not found,not found,not found,not found,not found,not found
4,2,47,5,not found,not found,not found,not found,not found,not found,not found
4,2,48,5,not found,not found,not found,not found,not found,not found,not found
4,2,59,4,not found,not found,not found,not found,not found,not found,not found
4,2,60,4,not found,not found,not found,not found,not found,not found,not found
4,3,4,59,66999,722287,1855443,1418569,1227565,689398,66708
4,3,4,60,66999,723332,1867666,1416965,1232662,690455,66708
4,3,5,47,66999,730625,1714137,1424677,1231018,689112,66708
4,3,5,48,66999,731952,1726459,1426406,1228582,690403,66708
4,3,6,39,66999,735566,1577398,1400439,1231592,685645,66708
4,3,6,40,66987,737211,1589655,1403002,1229498,687278,66708
4,3,7,34,66987,744964,1525552,1402465,1228993,686789,66708
4,3,8,30,66999,751329,1483830,1402839,1234120,687298,66708
4,3,9,26,66999,758021,1440419,1400896,1231877,685673,66708
4,3,10,24,66999,767734,1421152,1403327,1225482,687290,66708
4,3,12,20,66999,783729,1379024,1402577,1220532,687290,66708
4,3,13,18,66999,790482,1356580,1396198,1223841,685649,66708
4,3,14,17,66999,799681,1347254,1399281,1221556,686793,66708
4,3,15,16,66999,808138,1337077,1399417,1229181,687302,66708
4,3,16,15,66999,815966,1326797,1400035,1232904,687290,66708
4,3,17,14,66999,823659,1315632,1400526,1228034,686761,66708
