i,hex_value,setPk_max,verify_value
0,0000000000000000000000000000000000000000000000000000000000000000,43927,478620
1,8000000000000000000000000000000000000000000000000000000000000000,43927,472156
2,c000000000000000000000000000000000000000000000000000000000000000,43927,472156
3,e000000000000000000000000000000000000000000000000000000000000000,43927,472156
4,f000000000000000000000000000000000000000000000000000000000000000,43927,472156
5,f800000000000000000000000000000000000000000000000000000000000000,43927,465699
6,fc00000000000000000000000000000000000000000000000000000000000000,43927,465699
7,fe00000000000000000000000000000000000000000000000000000000000000,43927,465699
8,ff00000000000000000000000000000000000000000000000000000000000000,43927,465699
9,ff80000000000000000000000000000000000000000000000000000000000000,43927,459249
10,ffc0000000000000000000000000000000000000000000000000000000000000,43927,459249
11,ffe0000000000000000000000000000000000000000000000000000000000000,43927,459249
12,fff0000000000000000000000000000000000000000000000000000000000000,43927,459249
13,fff8000000000000000000000000000000000000000000000000000000000000,43927,452808
14,fffc000000000000000000000000000000000000000000000000000000000000,43927,452808
15,fffe000000000000000000000000000000000000000000000000000000000000,43927,452808
16,ffff000000000000000000000000000000000000000000000000000000000000,43927,452808
17,ffff800000000000000000000000000000000000000000000000000000000000,43927,446375
18,ffffc00000000000000000000000000000000000000000000000000000000000,43927,446375
19,ffffe00000000000000000000000000000000000000000000000000000000000,43927,446375
20,fffff00000000000000000000000000000000000000000000000000000000000,43927,446375
21,fffff80000000000000000000000000000000000000000000000000000000000,43927,439950
22,fffffc0000000000000000000000000000000000000000000000000000000000,43927,439950
23,fffffe0000000000000000000000000000000000000000000000000000000000,43927,439950
24,ffffff0000000000000000000000000000000000000000000000000000000000,43927,439950
25,ffffff8000000000000000000000000000000000000000000000000000000000,43927,433532
26,ffffffc000000000000000000000000000000000000000000000000000000000,43927,433532
27,ffffffe000000000000000000000000000000000000000000000000000000000,43927,433532
28,fffffff000000000000000000000000000000000000000000000000000000000,43927,433532
29,fffffff800000000000000000000000000000000000000000000000000000000,43927,427123
30,fffffffc00000000000000000000000000000000000000000000000000000000,43927,427123
31,fffffffe00000000000000000000000000000000000000000000000000000000,43927,427123
32,ffffffff00000000000000000000000000000000000000000000000000000000,43927,427123
33,ffffffff80000000000000000000000000000000000000000000000000000000,43927,427123
34,ffffffffc0000000000000000000000000000000000000000000000000000000,43927,420721
35,ffffffffe0000000000000000000000000000000000000000000000000000000,43927,420721
36,fffffffff0000000000000000000000000000000000000000000000000000000,43927,420721
37,fffffffff8000000000000000000000000000000000000000000000000000000,43927,420721
38,fffffffffc000000000000000000000000000000000000000000000000000000,43927,414327
39,fffffffffe000000000000000000000000000000000000000000000000000000,43927,414327
40,ffffffffff000000000000000000000000000000000000000000000000000000,43927,414327
41,ffffffffff800000000000000000000000000000000000000000000000000000,43927,414327
42,ffffffffffc00000000000000000000000000000000000000000000000000000,43927,407941
43,ffffffffffe00000000000000000000000000000000000000000000000000000,43927,407941
44,fffffffffff00000000000000000000000000000000000000000000000000000,43927,407941
45,fffffffffff80000000000000000000000000000000000000000000000000000,43927,407941
46,fffffffffffc0000000000000000000000000000000000000000000000000000,43927,401564
47,fffffffffffe0000000000000000000000000000000000000000000000000000,43927,401564
48,ffffffffffff0000000000000000000000000000000000000000000000000000,43927,401564
49,ffffffffffff8000000000000000000000000000000000000000000000000000,43927,401564
50,ffffffffffffc000000000000000000000000000000000000000000000000000,43927,401564
51,ffffffffffffe000000000000000000000000000000000000000000000000000,43927,388408
52,fffffffffffff000000000000000000000000000000000000000000000000000,43927,388408
53,fffffffffffff800000000000000000000000000000000000000000000000000,43927,388408
54,fffffffffffffc00000000000000000000000000000000000000000000000000,43927,388408
55,fffffffffffffe00000000000000000000000000000000000000000000000000,43927,382054
56,ffffffffffffff00000000000000000000000000000000000000000000000000,43927,382054
57,ffffffffffffff80000000000000000000000000000000000000000000000000,43927,382054
58,ffffffffffffffc0000000000000000000000000000000000000000000000000,43927,382054
59,ffffffffffffffe0000000000000000000000000000000000000000000000000,43927,382054
60,fffffffffffffff0000000000000000000000000000000000000000000000000,43927,375708
61,fffffffffffffff8000000000000000000000000000000000000000000000000,43927,375708
62,fffffffffffffffc000000000000000000000000000000000000000000000000,43927,375708
63,fffffffffffffffe000000000000000000000000000000000000000000000000,43927,375708
64,ffffffffffffffff000000000000000000000000000000000000000000000000,43927,375708
65,ffffffffffffffff800000000000000000000000000000000000000000000000,43927,369370
66,ffffffffffffffffc00000000000000000000000000000000000000000000000,43927,369370
67,ffffffffffffffffe00000000000000000000000000000000000000000000000,43927,369370
68,fffffffffffffffff00000000000000000000000000000000000000000000000,43927,369370
69,fffffffffffffffff80000000000000000000000000000000000000000000000,43927,363041
70,fffffffffffffffffc0000000000000000000000000000000000000000000000,43927,363041
71,fffffffffffffffffe0000000000000000000000000000000000000000000000,43927,363041
72,ffffffffffffffffff0000000000000000000000000000000000000000000000,43927,363041
73,ffffffffffffffffff8000000000000000000000000000000000000000000000,43927,356719
74,ffffffffffffffffffc000000000000000000000000000000000000000000000,43927,356719
75,ffffffffffffffffffe000000000000000000000000000000000000000000000,43927,356719
76,fffffffffffffffffff000000000000000000000000000000000000000000000,43927,356719
77,fffffffffffffffffff800000000000000000000000000000000000000000000,43927,350404
78,fffffffffffffffffffc00000000000000000000000000000000000000000000,43927,350404
79,fffffffffffffffffffe00000000000000000000000000000000000000000000,43927,350404
80,ffffffffffffffffffff00000000000000000000000000000000000000000000,43927,350404
81,ffffffffffffffffffff80000000000000000000000000000000000000000000,43927,344098
82,ffffffffffffffffffffc0000000000000000000000000000000000000000000,43927,344098
83,ffffffffffffffffffffe0000000000000000000000000000000000000000000,43927,344098
84,fffffffffffffffffffff0000000000000000000000000000000000000000000,43927,344098
85,fffffffffffffffffffff8000000000000000000000000000000000000000000,43927,337800
86,fffffffffffffffffffffc000000000000000000000000000000000000000000,43927,337800
87,fffffffffffffffffffffe000000000000000000000000000000000000000000,43927,337800
88,ffffffffffffffffffffff000000000000000000000000000000000000000000,43927,337800
89,ffffffffffffffffffffff800000000000000000000000000000000000000000,43927,331510
90,ffffffffffffffffffffffc00000000000000000000000000000000000000000,43927,331510
91,ffffffffffffffffffffffe00000000000000000000000000000000000000000,43927,331510
92,fffffffffffffffffffffff00000000000000000000000000000000000000000,43927,331510
93,fffffffffffffffffffffff80000000000000000000000000000000000000000,43927,325227
94,fffffffffffffffffffffffc0000000000000000000000000000000000000000,43927,325227
95,fffffffffffffffffffffffe0000000000000000000000000000000000000000,43927,325227
96,ffffffffffffffffffffffff0000000000000000000000000000000000000000,43927,325227
97,ffffffffffffffffffffffff8000000000000000000000000000000000000000,43927,325227
98,ffffffffffffffffffffffffc000000000000000000000000000000000000000,43927,318953
99,ffffffffffffffffffffffffe000000000000000000000000000000000000000,43927,318953
100,fffffffffffffffffffffffff000000000000000000000000000000000000000,43927,318953
101,fffffffffffffffffffffffff800000000000000000000000000000000000000,43927,318953
102,fffffffffffffffffffffffffc00000000000000000000000000000000000000,43927,312686
103,fffffffffffffffffffffffffe00000000000000000000000000000000000000,43927,312686
104,ffffffffffffffffffffffffff00000000000000000000000000000000000000,43927,312686
105,ffffffffffffffffffffffffff80000000000000000000000000000000000000,43927,312686
106,ffffffffffffffffffffffffffc0000000000000000000000000000000000000,43927,306427
107,ffffffffffffffffffffffffffe0000000000000000000000000000000000000,43927,306427
108,fffffffffffffffffffffffffff0000000000000000000000000000000000000,43927,306427
109,fffffffffffffffffffffffffff8000000000000000000000000000000000000,43927,306427
110,fffffffffffffffffffffffffffc000000000000000000000000000000000000,43927,300176
111,fffffffffffffffffffffffffffe000000000000000000000000000000000000,43927,300176
112,ffffffffffffffffffffffffffff000000000000000000000000000000000000,43927,300176
113,ffffffffffffffffffffffffffff800000000000000000000000000000000000,43927,300176
114,ffffffffffffffffffffffffffffc00000000000000000000000000000000000,43927,300176
115,ffffffffffffffffffffffffffffe00000000000000000000000000000000000,43927,293934
116,fffffffffffffffffffffffffffff00000000000000000000000000000000000,43927,293934
117,fffffffffffffffffffffffffffff80000000000000000000000000000000000,43927,293934
118,fffffffffffffffffffffffffffffc0000000000000000000000000000000000,43927,293934
119,fffffffffffffffffffffffffffffe0000000000000000000000000000000000,43927,281057
120,ffffffffffffffffffffffffffffff0000000000000000000000000000000000,43927,281057
121,ffffffffffffffffffffffffffffff8000000000000000000000000000000000,43927,281057
122,ffffffffffffffffffffffffffffffc000000000000000000000000000000000,43927,281057
123,ffffffffffffffffffffffffffffffe000000000000000000000000000000000,43927,281057
124,fffffffffffffffffffffffffffffff000000000000000000000000000000000,43927,274838
125,fffffffffffffffffffffffffffffff800000000000000000000000000000000,43927,274838
126,fffffffffffffffffffffffffffffffc00000000000000000000000000000000,43927,274838
127,fffffffffffffffffffffffffffffffe00000000000000000000000000000000,43927,274838
128,ffffffffffffffffffffffffffffffff00000000000000000000000000000000,43927,274838
129,ffffffffffffffffffffffffffffffff80000000000000000000000000000000,43927,268627
130,ffffffffffffffffffffffffffffffffc0000000000000000000000000000000,43927,268627
131,ffffffffffffffffffffffffffffffffe0000000000000000000000000000000,43927,268627
132,fffffffffffffffffffffffffffffffff0000000000000000000000000000000,43927,268627
133,fffffffffffffffffffffffffffffffff8000000000000000000000000000000,43927,262424
134,fffffffffffffffffffffffffffffffffc000000000000000000000000000000,43927,262424
