i,hex_value,setPk_max,verify_value
0,0000000000000000000000000000000000000000000000000000000000000000,44050,126061
1,8000000000000000000000000000000000000000000000000000000000000000,44050,126097
2,c000000000000000000000000000000000000000000000000000000000000000,44050,126097
3,e000000000000000000000000000000000000000000000000000000000000000,44050,126097
4,f000000000000000000000000000000000000000000000000000000000000000,44050,126109
5,f800000000000000000000000000000000000000000000000000000000000000,44050,126097
6,fc00000000000000000000000000000000000000000000000000000000000000,44050,126097
7,fe00000000000000000000000000000000000000000000000000000000000000,44050,126097
8,ff00000000000000000000000000000000000000000000000000000000000000,44050,126109
9,ff80000000000000000000000000000000000000000000000000000000000000,44050,126109
10,ffc0000000000000000000000000000000000000000000000000000000000000,44050,126109
11,ffe0000000000000000000000000000000000000000000000000000000000000,44050,126061
12,fff0000000000000000000000000000000000000000000000000000000000000,44050,126109
13,fff8000000000000000000000000000000000000000000000000000000000000,44050,126109
14,fffc000000000000000000000000000000000000000000000000000000000000,44050,126085
15,fffe000000000000000000000000000000000000000000000000000000000000,44050,126109
16,ffff000000000000000000000000000000000000000000000000000000000000,44050,126085
17,ffff800000000000000000000000000000000000000000000000000000000000,44050,126097
18,ffffc00000000000000000000000000000000000000000000000000000000000,44050,126073
19,ffffe00000000000000000000000000000000000000000000000000000000000,44050,126085
20,fffff00000000000000000000000000000000000000000000000000000000000,44050,126109
21,fffff80000000000000000000000000000000000000000000000000000000000,44050,126097
22,fffffc0000000000000000000000000000000000000000000000000000000000,44050,126085
23,fffffe0000000000000000000000000000000000000000000000000000000000,44050,126097
24,ffffff0000000000000000000000000000000000000000000000000000000000,44050,126085
25,ffffff8000000000000000000000000000000000000000000000000000000000,44050,126097
26,ffffffc000000000000000000000000000000000000000000000000000000000,44050,126097
27,ffffffe000000000000000000000000000000000000000000000000000000000,44050,126097
28,fffffff000000000000000000000000000000000000000000000000000000000,44050,126109
29,fffffff800000000000000000000000000000000000000000000000000000000,44050,126109
30,fffffffc00000000000000000000000000000000000000000000000000000000,44050,126085
31,fffffffe00000000000000000000000000000000000000000000000000000000,44050,126085
32,ffffffff00000000000000000000000000000000000000000000000000000000,44050,126109
33,ffffffff80000000000000000000000000000000000000000000000000000000,44050,126109
34,ffffffffc0000000000000000000000000000000000000000000000000000000,44050,126037
35,ffffffffe0000000000000000000000000000000000000000000000000000000,44050,126097
