i,hex_value,set_pk_max,verify_value
0,0000000000000000000000000000000000000000000000000000000000000000,44062,237937
1,8000000000000000000000000000000000000000000000000000000000000000,44062,237913
2,c000000000000000000000000000000000000000000000000000000000000000,44062,237937
3,e000000000000000000000000000000000000000000000000000000000000000,44062,237577
4,f000000000000000000000000000000000000000000000000000000000000000,44062,237913
5,f800000000000000000000000000000000000000000000000000000000000000,44062,237913
6,fc00000000000000000000000000000000000000000000000000000000000000,44062,237937
7,fe00000000000000000000000000000000000000000000000000000000000000,44062,237937
8,ff00000000000000000000000000000000000000000000000000000000000000,44062,237937
9,ff80000000000000000000000000000000000000000000000000000000000000,44062,237901
10,ffc0000000000000000000000000000000000000000000000000000000000000,44062,237925
11,ffe0000000000000000000000000000000000000000000000000000000000000,44062,237925
12,fff0000000000000000000000000000000000000000000000000000000000000,44062,237937
13,fff8000000000000000000000000000000000000000000000000000000000000,44062,237925
14,fffc000000000000000000000000000000000000000000000000000000000000,44062,237937
15,fffe000000000000000000000000000000000000000000000000000000000000,44062,237937
16,ffff000000000000000000000000000000000000000000000000000000000000,44062,237937
17,ffff800000000000000000000000000000000000000000000000000000000000,44062,237937
18,ffffc00000000000000000000000000000000000000000000000000000000000,44062,237937
19,ffffe00000000000000000000000000000000000000000000000000000000000,44062,237889
20,fffff00000000000000000000000000000000000000000000000000000000000,44062,237925
21,fffff80000000000000000000000000000000000000000000000000000000000,44062,237937
22,fffffc0000000000000000000000000000000000000000000000000000000000,44062,237913
23,fffffe0000000000000000000000000000000000000000000000000000000000,44062,237937
24,ffffff0000000000000000000000000000000000000000000000000000000000,44062,237937
25,ffffff8000000000000000000000000000000000000000000000000000000000,44062,237925
26,ffffffc000000000000000000000000000000000000000000000000000000000,44062,237913
27,ffffffe000000000000000000000000000000000000000000000000000000000,44062,237925
28,fffffff000000000000000000000000000000000000000000000000000000000,44062,237937
29,fffffff800000000000000000000000000000000000000000000000000000000,44062,237937
30,fffffffc00000000000000000000000000000000000000000000000000000000,44062,237901
31,fffffffe00000000000000000000000000000000000000000000000000000000,44062,237937
32,ffffffff00000000000000000000000000000000000000000000000000000000,44062,237937
