i,hex_value,setPk_max,verify_value
0,0000000000000000000000000000000000000000000000000000000000000000,43903,302685
1,8000000000000000000000000000000000000000000000000000000000000000,43903,298977
2,c000000000000000000000000000000000000000000000000000000000000000,43903,298977
3,e000000000000000000000000000000000000000000000000000000000000000,43903,297742
4,f000000000000000000000000000000000000000000000000000000000000000,43903,297742
5,f800000000000000000000000000000000000000000000000000000000000000,43903,297742
6,fc00000000000000000000000000000000000000000000000000000000000000,43903,296507
7,fe00000000000000000000000000000000000000000000000000000000000000,43903,296507
8,ff00000000000000000000000000000000000000000000000000000000000000,43903,296507
9,ff80000000000000000000000000000000000000000000000000000000000000,43903,295273
10,ffc0000000000000000000000000000000000000000000000000000000000000,43903,295273
11,ffe0000000000000000000000000000000000000000000000000000000000000,43903,292804
12,fff0000000000000000000000000000000000000000000000000000000000000,43903,292804
13,fff8000000000000000000000000000000000000000000000000000000000000,43903,292804
14,fffc000000000000000000000000000000000000000000000000000000000000,43903,291570
15,fffe000000000000000000000000000000000000000000000000000000000000,43903,291570
16,ffff000000000000000000000000000000000000000000000000000000000000,43903,291570
17,ffff800000000000000000000000000000000000000000000000000000000000,43903,290337
18,ffffc00000000000000000000000000000000000000000000000000000000000,43903,290337
19,ffffe00000000000000000000000000000000000000000000000000000000000,43903,289104
20,fffff00000000000000000000000000000000000000000000000000000000000,43903,289104
21,fffff80000000000000000000000000000000000000000000000000000000000,43903,289104
22,fffffc0000000000000000000000000000000000000000000000000000000000,43903,286639
23,fffffe0000000000000000000000000000000000000000000000000000000000,43903,286639
24,ffffff0000000000000000000000000000000000000000000000000000000000,43903,286639
25,ffffff8000000000000000000000000000000000000000000000000000000000,43903,285407
26,ffffffc000000000000000000000000000000000000000000000000000000000,43903,285407
27,ffffffe000000000000000000000000000000000000000000000000000000000,43903,284175
28,fffffff000000000000000000000000000000000000000000000000000000000,43903,284175
29,fffffff800000000000000000000000000000000000000000000000000000000,43903,284175
30,fffffffc00000000000000000000000000000000000000000000000000000000,43903,282943
31,fffffffe00000000000000000000000000000000000000000000000000000000,43903,282943
32,ffffffff00000000000000000000000000000000000000000000000000000000,43903,282943
33,ffffffff80000000000000000000000000000000000000000000000000000000,43903,280481
34,ffffffffc0000000000000000000000000000000000000000000000000000000,43903,280481
