w,h,i,hex_value,set_pk,verify
4,14,100,fffffffffffffffffffffffff000000000000000000000000000000000000000,66789,5344265
4,14,101,fffffffffffffffffffffffff800000000000000000000000000000000000000,66789,5324596
4,14,102,fffffffffffffffffffffffffc00000000000000000000000000000000000000,66789,5314763
4,14,103,fffffffffffffffffffffffffe00000000000000000000000000000000000000,66789,5295102
4,14,104,ffffffffffffffffffffffffff00000000000000000000000000000000000000,66789,5285274
4,14,105,ffffffffffffffffffffffffff80000000000000000000000000000000000000,66789,5265633
4,14,106,ffffffffffffffffffffffffffc0000000000000000000000000000000000000,66789,5255797
4,14,107,ffffffffffffffffffffffffffe0000000000000000000000000000000000000,66789,5236153
4,14,108,fffffffffffffffffffffffffff0000000000000000000000000000000000000,66789,5226333
4,14,109,fffffffffffffffffffffffffff8000000000000000000000000000000000000,66789,5206697
4,14,110,fffffffffffffffffffffffffffc000000000000000000000000000000000000,66789,5196882
4,14,111,fffffffffffffffffffffffffffe000000000000000000000000000000000000,66789,5177254
4,14,112,ffffffffffffffffffffffffffff000000000000000000000000000000000000,66789,5167443
4,14,113,ffffffffffffffffffffffffffff800000000000000000000000000000000000,66789,5147836
4,14,114,ffffffffffffffffffffffffffffc00000000000000000000000000000000000,66789,5138029
4,14,115,ffffffffffffffffffffffffffffe00000000000000000000000000000000000,66789,5118419
4,14,116,fffffffffffffffffffffffffffff00000000000000000000000000000000000,66789,5108616
4,14,117,fffffffffffffffffffffffffffff80000000000000000000000000000000000,66789,5089014
4,14,118,fffffffffffffffffffffffffffffc0000000000000000000000000000000000,66789,5079203
4,14,119,fffffffffffffffffffffffffffffe0000000000000000000000000000000000,66789,5059610
4,14,120,ffffffffffffffffffffffffffffff0000000000000000000000000000000000,66789,5049815
4,14,121,ffffffffffffffffffffffffffffff8000000000000000000000000000000000,66789,5030230
4,14,122,ffffffffffffffffffffffffffffffc000000000000000000000000000000000,66789,5020452
4,14,123,ffffffffffffffffffffffffffffffe000000000000000000000000000000000,66789,5000876
4,14,124,fffffffffffffffffffffffffffffff000000000000000000000000000000000,66789,4991089
4,14,125,fffffffffffffffffffffffffffffff800000000000000000000000000000000,66789,4971521
4,14,126,fffffffffffffffffffffffffffffffc00000000000000000000000000000000,66789,4961740
4,14,127,fffffffffffffffffffffffffffffffe00000000000000000000000000000000,66789,4942180
4,14,128,ffffffffffffffffffffffffffffffff00000000000000000000000000000000,66789,4932403
4,14,129,ffffffffffffffffffffffffffffffff80000000000000000000000000000000,66789,4912863
4,14,130,ffffffffffffffffffffffffffffffffc0000000000000000000000000000000,66789,4903090
4,14,131,ffffffffffffffffffffffffffffffffe0000000000000000000000000000000,66789,4883548
4,14,132,fffffffffffffffffffffffffffffffff0000000000000000000000000000000,66789,4873778
4,14,133,fffffffffffffffffffffffffffffffff8000000000000000000000000000000,66789,4854244
4,14,134,fffffffffffffffffffffffffffffffffc000000000000000000000000000000,66789,4844467
4,14,135,fffffffffffffffffffffffffffffffffe000000000000000000000000000000,66789,4824942
4,14,136,ffffffffffffffffffffffffffffffffff000000000000000000000000000000,66789,4815181
4,14,137,ffffffffffffffffffffffffffffffffff800000000000000000000000000000,66789,4795676
4,14,138,ffffffffffffffffffffffffffffffffffc00000000000000000000000000000,66789,4785919
4,14,139,ffffffffffffffffffffffffffffffffffe00000000000000000000000000000,66789,4766399
4,14,140,fffffffffffffffffffffffffffffffffff00000000000000000000000000000,66789,4756658
4,14,141,fffffffffffffffffffffffffffffffffff80000000000000000000000000000,66789,4737158
4,14,142,fffffffffffffffffffffffffffffffffffc0000000000000000000000000000,66789,4727410
4,14,143,fffffffffffffffffffffffffffffffffffe0000000000000000000000000000,66789,4707930
4,14,144,ffffffffffffffffffffffffffffffffffff0000000000000000000000000000,66789,4698186
4,14,145,ffffffffffffffffffffffffffffffffffff8000000000000000000000000000,66789,4678715
4,14,146,ffffffffffffffffffffffffffffffffffffc000000000000000000000000000,66789,4668976
4,14,147,ffffffffffffffffffffffffffffffffffffe000000000000000000000000000,66789,4649513
4,14,148,fffffffffffffffffffffffffffffffffffff000000000000000000000000000,66789,4639777
4,14,149,fffffffffffffffffffffffffffffffffffff800000000000000000000000000,66789,4620311
4,14,150,fffffffffffffffffffffffffffffffffffffc00000000000000000000000000,66789,4610580
4,14,151,fffffffffffffffffffffffffffffffffffffe00000000000000000000000000,66789,4591122
4,14,152,ffffffffffffffffffffffffffffffffffffff00000000000000000000000000,66789,4581395
4,14,153,ffffffffffffffffffffffffffffffffffffff80000000000000000000000000,66789,4561957
4,14,154,ffffffffffffffffffffffffffffffffffffffc0000000000000000000000000,66789,4552223
4,14,155,ffffffffffffffffffffffffffffffffffffffe0000000000000000000000000,66789,4532782
4,14,156,fffffffffffffffffffffffffffffffffffffff0000000000000000000000000,66789,4523063
