w,h,i,hex_value,setPk,naysayerHT,naysayerLtree,naysayerWots
16,14,100,fffffffffffffffffffffffff000000000000000000000000000000000000000,67043,594540,1551161,636822
16,14,101,fffffffffffffffffffffffff800000000000000000000000000000000000000,67043,594552,1551173,636834
16,14,102,fffffffffffffffffffffffffc00000000000000000000000000000000000000,67043,594552,1551173,636834
16,14,103,fffffffffffffffffffffffffe00000000000000000000000000000000000000,67043,594552,1551173,636834
16,14,104,ffffffffffffffffffffffffff00000000000000000000000000000000000000,67043,594552,1551173,636822
16,14,105,ffffffffffffffffffffffffff80000000000000000000000000000000000000,67043,594552,1551173,636834
16,14,106,ffffffffffffffffffffffffffc0000000000000000000000000000000000000,67043,594552,1551173,636834
16,14,107,ffffffffffffffffffffffffffe0000000000000000000000000000000000000,67043,594552,1551173,636834
16,14,108,fffffffffffffffffffffffffff0000000000000000000000000000000000000,67043,594552,1551173,636834
16,14,109,fffffffffffffffffffffffffff8000000000000000000000000000000000000,67043,594528,1551161,636834
16,14,110,fffffffffffffffffffffffffffc000000000000000000000000000000000000,67043,594552,1551173,636834
16,14,111,fffffffffffffffffffffffffffe000000000000000000000000000000000000,67043,594552,1551173,636834
16,14,112,ffffffffffffffffffffffffffff000000000000000000000000000000000000,67043,594552,1551173,636834
16,14,113,ffffffffffffffffffffffffffff800000000000000000000000000000000000,67043,594552,1551173,636834
16,14,114,ffffffffffffffffffffffffffffc00000000000000000000000000000000000,67043,594552,1551173,636834
16,14,115,ffffffffffffffffffffffffffffe00000000000000000000000000000000000,67043,594552,1551173,636834
16,14,116,fffffffffffffffffffffffffffff00000000000000000000000000000000000,67043,594552,1551173,636834
16,14,117,fffffffffffffffffffffffffffff80000000000000000000000000000000000,67043,594528,1551161,636822
16,14,118,fffffffffffffffffffffffffffffc0000000000000000000000000000000000,67043,594552,1551173,636834
16,14,119,fffffffffffffffffffffffffffffe0000000000000000000000000000000000,67043,594552,1551173,636834
16,14,120,ffffffffffffffffffffffffffffff0000000000000000000000000000000000,67043,594516,1551149,636822
16,14,121,ffffffffffffffffffffffffffffff8000000000000000000000000000000000,67043,594552,1551173,636834
16,14,122,ffffffffffffffffffffffffffffffc000000000000000000000000000000000,67043,594552,1551173,636834
16,14,123,ffffffffffffffffffffffffffffffe000000000000000000000000000000000,67043,594552,1551173,636822
16,14,124,fffffffffffffffffffffffffffffff000000000000000000000000000000000,67043,594552,1551173,636834
16,14,125,fffffffffffffffffffffffffffffff800000000000000000000000000000000,67043,594552,1551173,636834
16,14,126,fffffffffffffffffffffffffffffffc00000000000000000000000000000000,67043,594552,1551173,636834
16,14,127,fffffffffffffffffffffffffffffffe00000000000000000000000000000000,67043,594540,1551161,636822
16,14,128,ffffffffffffffffffffffffffffffff00000000000000000000000000000000,67043,594552,1551173,636834
16,14,129,ffffffffffffffffffffffffffffffff80000000000000000000000000000000,67043,594552,1551173,636834
16,14,130,ffffffffffffffffffffffffffffffffc0000000000000000000000000000000,67043,594552,1551173,636834
16,14,131,ffffffffffffffffffffffffffffffffe0000000000000000000000000000000,67043,594528,1551161,636834
16,14,132,fffffffffffffffffffffffffffffffff0000000000000000000000000000000,67043,594528,1551161,636834
16,14,133,fffffffffffffffffffffffffffffffff8000000000000000000000000000000,67043,594552,1551173,636822
16,14,134,fffffffffffffffffffffffffffffffffc000000000000000000000000000000,67043,594552,1551173,636834
16,14,135,fffffffffffffffffffffffffffffffffe000000000000000000000000000000,67043,594552,1551173,636822
16,14,136,ffffffffffffffffffffffffffffffffff000000000000000000000000000000,67043,594528,1551149,636810
16,14,137,ffffffffffffffffffffffffffffffffff800000000000000000000000000000,67043,594552,1551173,636834
16,14,138,ffffffffffffffffffffffffffffffffffc00000000000000000000000000000,67043,594528,1551161,636834
16,14,139,ffffffffffffffffffffffffffffffffffe00000000000000000000000000000,67043,594552,1551173,636834
16,14,140,fffffffffffffffffffffffffffffffffff00000000000000000000000000000,67043,594552,1551173,636834
16,14,141,fffffffffffffffffffffffffffffffffff80000000000000000000000000000,67043,594504,1551149,636834
16,14,142,fffffffffffffffffffffffffffffffffffc0000000000000000000000000000,67043,594552,1551173,636834
16,14,143,fffffffffffffffffffffffffffffffffffe0000000000000000000000000000,67043,594528,1551161,636834
16,14,144,ffffffffffffffffffffffffffffffffffff0000000000000000000000000000,67043,594552,1551173,636834
16,14,145,ffffffffffffffffffffffffffffffffffff8000000000000000000000000000,67043,594528,1551161,636834
16,14,146,ffffffffffffffffffffffffffffffffffffc000000000000000000000000000,67043,594552,1551173,636834
16,14,147,ffffffffffffffffffffffffffffffffffffe000000000000000000000000000,67043,594552,1551173,636834
16,14,148,fffffffffffffffffffffffffffffffffffff000000000000000000000000000,67043,594528,1551161,636834
16,14,149,fffffffffffffffffffffffffffffffffffff800000000000000000000000000,67043,594552,1551173,636834
16,14,150,fffffffffffffffffffffffffffffffffffffc00000000000000000000000000,67043,594552,1551173,636834
16,14,151,fffffffffffffffffffffffffffffffffffffe00000000000000000000000000,67043,594552,1551173,636822
16,14,152,ffffffffffffffffffffffffffffffffffffff00000000000000000000000000,67043,594552,1551173,636834
16,14,153,ffffffffffffffffffffffffffffffffffffff80000000000000000000000000,67043,594540,1551161,636822
16,14,154,ffffffffffffffffffffffffffffffffffffffc0000000000000000000000000,67043,594528,1551161,636834
16,14,155,ffffffffffffffffffffffffffffffffffffffe0000000000000000000000000,67043,594552,1551173,636834
16,14,156,fffffffffffffffffffffffffffffffffffffff0000000000000000000000000,67043,594552,1551173,636822
