w,h,i,hex_value,set_pk,naysayer_ht,naysayer_ltree,naysayer_wots
16,16,100,fffffffffffffffffffffffff000000000000000000000000000000000000000,67031,594572,1551161,636818
16,16,101,fffffffffffffffffffffffff800000000000000000000000000000000000000,67031,594572,1551161,636818
16,16,102,fffffffffffffffffffffffffc00000000000000000000000000000000000000,67031,594560,1551149,636806
16,16,103,fffffffffffffffffffffffffe00000000000000000000000000000000000000,67031,594572,1551161,636806
16,16,104,ffffffffffffffffffffffffff00000000000000000000000000000000000000,67031,594572,1551161,636818
16,16,105,ffffffffffffffffffffffffff80000000000000000000000000000000000000,67031,594572,1551161,636818
16,16,106,ffffffffffffffffffffffffffc0000000000000000000000000000000000000,67031,594572,1551161,636818
16,16,107,ffffffffffffffffffffffffffe0000000000000000000000000000000000000,67031,594572,1551161,636818
16,16,108,fffffffffffffffffffffffffff0000000000000000000000000000000000000,67031,594572,1551161,636818
16,16,109,fffffffffffffffffffffffffff8000000000000000000000000000000000000,67031,594572,1551161,636818
16,16,110,fffffffffffffffffffffffffffc000000000000000000000000000000000000,67031,594572,1551161,636818
16,16,111,fffffffffffffffffffffffffffe000000000000000000000000000000000000,67031,594572,1551161,636818
16,16,112,ffffffffffffffffffffffffffff000000000000000000000000000000000000,67031,594572,1551161,636806
16,16,113,ffffffffffffffffffffffffffff800000000000000000000000000000000000,67031,594560,1551149,636806
16,16,114,ffffffffffffffffffffffffffffc00000000000000000000000000000000000,67031,594560,1551149,636806
16,16,115,ffffffffffffffffffffffffffffe00000000000000000000000000000000000,67031,594572,1551161,636818
16,16,116,fffffffffffffffffffffffffffff00000000000000000000000000000000000,67031,594572,1551161,636818
16,16,117,fffffffffffffffffffffffffffff80000000000000000000000000000000000,67031,594548,1551149,636818
16,16,118,fffffffffffffffffffffffffffffc0000000000000000000000000000000000,67031,594572,1551161,636818
16,16,119,fffffffffffffffffffffffffffffe0000000000000000000000000000000000,67031,594572,1551161,636818
16,16,120,ffffffffffffffffffffffffffffff0000000000000000000000000000000000,67031,594572,1551161,636818
16,16,121,ffffffffffffffffffffffffffffff8000000000000000000000000000000000,67031,594560,1551149,636806
16,16,122,ffffffffffffffffffffffffffffffc000000000000000000000000000000000,67031,594572,1551161,636818
16,16,123,ffffffffffffffffffffffffffffffe000000000000000000000000000000000,67031,594548,1551149,636818
16,16,124,fffffffffffffffffffffffffffffff000000000000000000000000000000000,67031,594572,1551161,636818
16,16,125,fffffffffffffffffffffffffffffff800000000000000000000000000000000,67031,594572,1551161,636818
16,16,126,fffffffffffffffffffffffffffffffc00000000000000000000000000000000,67031,594572,1551161,636818
16,16,127,fffffffffffffffffffffffffffffffe00000000000000000000000000000000,67031,594572,1551161,636818
16,16,128,ffffffffffffffffffffffffffffffff00000000000000000000000000000000,67031,594572,1551161,636818
16,16,129,ffffffffffffffffffffffffffffffff80000000000000000000000000000000,67031,594572,1551161,636806
16,16,130,ffffffffffffffffffffffffffffffffc0000000000000000000000000000000,67031,594572,1551161,636818
16,16,131,ffffffffffffffffffffffffffffffffe0000000000000000000000000000000,67031,594560,1551149,636806
16,16,132,fffffffffffffffffffffffffffffffff0000000000000000000000000000000,67031,594572,1551161,636818
16,16,133,fffffffffffffffffffffffffffffffff8000000000000000000000000000000,67031,594548,1551149,636818
16,16,134,fffffffffffffffffffffffffffffffffc000000000000000000000000000000,67031,594572,1551161,636818
16,16,135,fffffffffffffffffffffffffffffffffe000000000000000000000000000000,67031,594572,1551161,636818
16,16,136,ffffffffffffffffffffffffffffffffff000000000000000000000000000000,67031,594572,1551161,636818
16,16,137,ffffffffffffffffffffffffffffffffff800000000000000000000000000000,67031,594524,1551137,636818
16,16,138,ffffffffffffffffffffffffffffffffffc00000000000000000000000000000,67031,594548,1551149,636818
16,16,139,ffffffffffffffffffffffffffffffffffe00000000000000000000000000000,67031,594548,1551149,636818
16,16,140,fffffffffffffffffffffffffffffffffff00000000000000000000000000000,67031,594572,1551161,636818
16,16,141,fffffffffffffffffffffffffffffffffff80000000000000000000000000000,67031,594572,1551161,636818
16,16,142,fffffffffffffffffffffffffffffffffffc0000000000000000000000000000,67031,594572,1551161,636818
16,16,143,fffffffffffffffffffffffffffffffffffe0000000000000000000000000000,67031,594548,1551137,636794
16,16,144,ffffffffffffffffffffffffffffffffffff0000000000000000000000000000,67031,594572,1551161,636818
16,16,145,ffffffffffffffffffffffffffffffffffff8000000000000000000000000000,67031,594572,1551161,636806
16,16,146,ffffffffffffffffffffffffffffffffffffc000000000000000000000000000,67031,594548,1551149,636818
16,16,147,ffffffffffffffffffffffffffffffffffffe000000000000000000000000000,67031,594572,1551161,636818
16,16,148,fffffffffffffffffffffffffffffffffffff000000000000000000000000000,67031,594572,1551161,636818
16,16,149,fffffffffffffffffffffffffffffffffffff800000000000000000000000000,67031,594572,1551161,636818
16,16,150,fffffffffffffffffffffffffffffffffffffc00000000000000000000000000,67031,594560,1551149,636794
16,16,151,fffffffffffffffffffffffffffffffffffffe00000000000000000000000000,67031,594572,1551161,636806
16,16,152,ffffffffffffffffffffffffffffffffffffff00000000000000000000000000,67031,594536,1551137,636806
16,16,153,ffffffffffffffffffffffffffffffffffffff80000000000000000000000000,67031,594572,1551161,636818
16,16,154,ffffffffffffffffffffffffffffffffffffffc0000000000000000000000000,67031,594572,1551161,636818
16,16,155,ffffffffffffffffffffffffffffffffffffffe0000000000000000000000000,67031,594572,1551161,636818
16,16,156,fffffffffffffffffffffffffffffffffffffff0000000000000000000000000,67031,594572,1551161,636818
