w,h,i,hex_value,set_pk,naysaer_ht,naysaer_ltree,naysaer_wots
16,8,100,fffffffffffffffffffffffff000000000000000000000000000000000000000,67043,593780,1550741,636782
16,8,101,fffffffffffffffffffffffff800000000000000000000000000000000000000,67043,593768,1550729,636782
16,8,102,fffffffffffffffffffffffffc00000000000000000000000000000000000000,67043,593780,1550741,636794
16,8,103,fffffffffffffffffffffffffe00000000000000000000000000000000000000,67043,593780,1550741,636794
16,8,104,ffffffffffffffffffffffffff00000000000000000000000000000000000000,67043,593780,1550741,636794
16,8,105,ffffffffffffffffffffffffff80000000000000000000000000000000000000,67043,593732,1550717,636794
16,8,106,ffffffffffffffffffffffffffc0000000000000000000000000000000000000,67043,593780,1550741,636794
16,8,107,ffffffffffffffffffffffffffe0000000000000000000000000000000000000,67043,593780,1550741,636794
16,8,108,fffffffffffffffffffffffffff0000000000000000000000000000000000000,67043,593780,1550741,636782
16,8,109,fffffffffffffffffffffffffff8000000000000000000000000000000000000,67043,593780,1550741,636794
16,8,110,fffffffffffffffffffffffffffc000000000000000000000000000000000000,67043,593780,1550741,636794
16,8,111,fffffffffffffffffffffffffffe000000000000000000000000000000000000,67043,593780,1550741,636794
16,8,112,ffffffffffffffffffffffffffff000000000000000000000000000000000000,67043,593780,1550741,636794
16,8,113,ffffffffffffffffffffffffffff800000000000000000000000000000000000,67043,593780,1550741,636794
16,8,114,ffffffffffffffffffffffffffffc00000000000000000000000000000000000,67043,593780,1550741,636794
16,8,115,ffffffffffffffffffffffffffffe00000000000000000000000000000000000,67043,593780,1550741,636782
16,8,116,fffffffffffffffffffffffffffff00000000000000000000000000000000000,67043,593780,1550741,636794
16,8,117,fffffffffffffffffffffffffffff80000000000000000000000000000000000,67043,593780,1550741,636782
16,8,118,fffffffffffffffffffffffffffffc0000000000000000000000000000000000,67043,593780,1550741,636794
16,8,119,fffffffffffffffffffffffffffffe0000000000000000000000000000000000,67043,593780,1550741,636794
16,8,120,ffffffffffffffffffffffffffffff0000000000000000000000000000000000,67043,593780,1550741,636794
16,8,121,ffffffffffffffffffffffffffffff8000000000000000000000000000000000,67043,593780,1550741,636782
16,8,122,ffffffffffffffffffffffffffffffc000000000000000000000000000000000,67043,593780,1550741,636794
16,8,123,ffffffffffffffffffffffffffffffe000000000000000000000000000000000,67043,593780,1550741,636794
16,8,124,fffffffffffffffffffffffffffffff000000000000000000000000000000000,67043,593780,1550741,636794
16,8,125,fffffffffffffffffffffffffffffff800000000000000000000000000000000,67043,593780,1550741,636794
16,8,126,fffffffffffffffffffffffffffffffc00000000000000000000000000000000,67043,593780,1550741,636782
16,8,127,fffffffffffffffffffffffffffffffe00000000000000000000000000000000,67043,593780,1550741,636782
16,8,128,ffffffffffffffffffffffffffffffff00000000000000000000000000000000,67043,593780,1550741,636794
16,8,129,ffffffffffffffffffffffffffffffff80000000000000000000000000000000,67043,593780,1550741,636794
16,8,130,ffffffffffffffffffffffffffffffffc0000000000000000000000000000000,67043,593780,1550741,636794
16,8,131,ffffffffffffffffffffffffffffffffe0000000000000000000000000000000,67043,593780,1550741,636794
16,8,132,fffffffffffffffffffffffffffffffff0000000000000000000000000000000,67043,593780,1550741,636794
16,8,133,fffffffffffffffffffffffffffffffff8000000000000000000000000000000,67043,593780,1550741,636782
16,8,134,fffffffffffffffffffffffffffffffffc000000000000000000000000000000,67043,593780,1550741,636794
16,8,135,fffffffffffffffffffffffffffffffffe000000000000000000000000000000,67043,593780,1550741,636794
16,8,136,ffffffffffffffffffffffffffffffffff000000000000000000000000000000,67043,593780,1550741,636794
16,8,137,ffffffffffffffffffffffffffffffffff800000000000000000000000000000,67043,593780,1550741,636794
16,8,138,ffffffffffffffffffffffffffffffffffc00000000000000000000000000000,67043,593780,1550741,636794
16,8,139,ffffffffffffffffffffffffffffffffffe00000000000000000000000000000,67043,593780,1550741,636794
16,8,140,fffffffffffffffffffffffffffffffffff00000000000000000000000000000,67043,593780,1550741,636782
16,8,141,fffffffffffffffffffffffffffffffffff80000000000000000000000000000,67043,593780,1550741,636794
16,8,142,fffffffffffffffffffffffffffffffffffc0000000000000000000000000000,67043,593780,1550741,636794
16,8,143,fffffffffffffffffffffffffffffffffffe0000000000000000000000000000,67043,593780,1550741,636794
16,8,144,ffffffffffffffffffffffffffffffffffff0000000000000000000000000000,67043,593780,1550741,636794
16,8,145,ffffffffffffffffffffffffffffffffffff8000000000000000000000000000,67043,593780,1550741,636782
16,8,146,ffffffffffffffffffffffffffffffffffffc000000000000000000000000000,67043,593780,1550741,636794
16,8,147,ffffffffffffffffffffffffffffffffffffe000000000000000000000000000,67043,593780,1550741,636794
16,8,148,fffffffffffffffffffffffffffffffffffff000000000000000000000000000,67043,593780,1550741,636794
16,8,149,fffffffffffffffffffffffffffffffffffff800000000000000000000000000,67043,593780,1550741,636794
16,8,150,fffffffffffffffffffffffffffffffffffffc00000000000000000000000000,67043,593780,1550741,636794
16,8,151,fffffffffffffffffffffffffffffffffffffe00000000000000000000000000,67043,593780,1550741,636794
16,8,152,ffffffffffffffffffffffffffffffffffffff00000000000000000000000000,67043,593732,1550717,636794
16,8,153,ffffffffffffffffffffffffffffffffffffff80000000000000000000000000,67043,593780,1550741,636794
16,8,154,ffffffffffffffffffffffffffffffffffffffc0000000000000000000000000,67043,593780,1550741,636794
16,8,155,ffffffffffffffffffffffffffffffffffffffe0000000000000000000000000,67043,593780,1550741,636794
16,8,156,fffffffffffffffffffffffffffffffffffffff0000000000000000000000000,67043,593780,1550741,636794
